timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1717830000000,69333.44,69582.2,69333.44,69582.2,540.15299,1717833599999,37527841.3310506,28786,344.37897,23924579.4494383,0
1717833600000,69582.2,69582.2,69381.81,69436.42,364.24008,1717837199999,25299262.6471194,26580,153.65343,10671833.9053701,0
1717837200000,69436.43,69495.99,69382.8,69443.24,329.88546,1717840799999,22906839.4102347,25405,150.64233,10459950.7241913,0
1717840800000,69443.25,69495.98,69360.01,69453.4,384.75747,1717844399999,26707155.038352,27851,161.19286,11188578.1477659,0
1717844400000,69453.39,69515.0,69318.19,69365.93,547.11072,1717847999999,37993271.3928905,47020,194.82703,13530503.7441581,0
1717848000000,69365.94,69430.0,69265.0,69360.22,436.61346,1717851599999,30277322.5607758,41218,183.88816,12752071.2083093,0
1717851600000,69360.22,69430.01,69168.02,69430.0,801.65896,1717855199999,55558527.6044566,57087,393.27116,27259718.4748387,0
1717855200000,69430.01,69462.25,69309.82,69461.69,538.86257,1717858799999,37394560.1185056,47982,251.12364,17426896.0885495,0
1717858800000,69461.68,69491.36,69421.17,69430.01,341.4374,1717862399999,23715341.5800335,28393,139.12887,9664091.0249706,0
1717862400000,69430.01,69470.16,69292.22,69387.15,570.23186,1717865999999,39558400.2746407,35860,292.4961,20292432.335433,0
1717866000000,69387.16,69470.0,69336.01,69439.99,489.14706,1717869599999,33960300.8640232,45793,281.88877,19570465.0196668,0
1717869600000,69440.0,69480.0,69427.98,69454.89,269.32881,1717873199999,18706067.4436395,25932,155.30313,10786355.7439872,0
1717873200000,69454.88,69490.0,69427.88,69460.01,249.35631,1717876799999,17321773.9268794,19643,124.4997,8648333.1900902,0
1717876800000,69460.0,69475.18,69313.31,69372.73,304.03471,1717880399999,21098511.4996674,21153,118.57818,8228473.7276501,0
1717880400000,69372.74,69424.47,69327.04,69404.91,179.28795,1717883999999,12438246.3269281,17777,90.06573,6248394.7120511,0
1717884000000,69404.9,69404.91,69290.28,69338.15,201.17805,1717887599999,13950301.2730545,21774,95.24069,6604005.4475804,0
1717887600000,69338.15,69340.0,69292.99,69310.46,253.72476,1717891199999,17587329.2746553,16405,120.10974,8325410.0483339,0
1717891200000,69310.46,69327.99,69225.84,69268.7,279.12784,1717894799999,19338703.8483201,21215,124.73844,8642496.9412873,0
1717894800000,69268.7,69346.9,69230.0,69285.0,207.30721,1717898399999,14362579.2841496,16749,112.17264,7770873.1957989,0
1717898400000,69285.01,69298.0,69139.93,69174.93,386.92647,1717901999999,26783333.7009184,25318,175.28987,12133501.1566163,0
1717902000000,69174.92,69298.0,69130.24,69259.38,311.25819,1717905599999,21545812.1478992,18278,186.00653,12875962.1677482,0
1717905600000,69259.38,69306.22,69244.64,69304.44,215.2078,1717909199999,14909318.9786893,13581,119.64335,8288352.4093918,0
1717909200000,69304.44,69360.4,69234.73,69293.47,201.54054,1717912799999,13965806.4440637,17567,99.70799,6909616.92376,0
1717912800000,69293.48,69400.0,69276.95,69391.01,246.31461,1717916399999,17079231.7476671,23861,121.65429,8435331.4937015,0
1717916400000,69391.02,69425.7,69273.47,69295.64,368.4744,1717919999999,25555081.1035206,19290,106.9909,7420892.0371769,0
1717920000000,69295.64,69356.0,69283.45,69352.15,210.63135,1717923599999,14601549.9716018,17282,78.76128,5459764.1497778,0
1717923600000,69352.15,69397.19,69341.95,69369.98,195.9235,1717927199999,13589024.6552502,14803,75.18516,5214728.3803723,0
1717927200000,69369.99,69373.24,69333.07,69346.49,236.87264,1717930799999,16426387.5669551,15935,87.54417,6070642.9913189,0
1717930800000,69346.5,69389.0,69333.0,69367.69,225.66556,1717934399999,15651519.3287073,18782,88.33125,6126493.3214202,0
1717934400000,69367.68,69760.0,69351.11,69712.95,864.72707,1717937999999,60123067.0994061,40933,558.60884,38835556.1144159,0
1717938000000,69712.96,69777.0,69250.01,69467.03,1517.18414,1717941599999,105425078.2090222,50246,764.50419,53113677.494053,0
1717941600000,69467.04,69559.0,69264.01,69490.12,679.92624,1717945199999,47214532.2685339,30504,352.37945,24472890.9224829,0
1717945200000,69490.13,69590.37,69420.42,69508.64,716.46617,1717948799999,49809354.8103073,25953,318.11366,22116243.4411946,0
1717948800000,69508.64,69636.98,69500.0,69622.88,386.18326,1717952399999,26867439.0723452,26070,222.80436,15500601.5259075,0
1717952400000,69622.88,69698.48,69570.0,69660.51,281.76588,1717955999999,19619563.5907048,26988,121.62477,8468759.3496587,0
1717956000000,69660.52,69848.32,69611.26,69738.1,755.07201,1717959599999,52656677.4333923,31264,396.01498,27618989.8532117,0
1717959600000,69738.09,69857.14,69660.03,69710.26,559.04291,1717963199999,39011484.0421888,28061,284.06047,19820094.2441391,0
1717963200000,69710.26,69730.81,69590.33,69686.85,315.37374,1717966799999,21968423.0101307,29709,133.54637,9302148.1492876,0
1717966800000,69686.86,69821.53,69610.0,69749.96,275.10337,1717970399999,19179637.2263276,23095,141.38246,9856591.4879959,0
1717970400000,69749.95,69787.13,69621.2,69634.35,283.03816,1717973999999,19723383.4662429,23437,127.02453,8851224.3161288,0
1717974000000,69634.36,69684.93,69596.01,69648.14,171.43403,1717977599999,11937667.0662124,16662,87.60301,6099944.0146989,0
1717977600000,69648.15,69655.11,69426.0,69559.99,450.64669,1717981199999,31330087.1165252,29917,200.58954,13944086.5727449,0
1717981200000,69559.99,69686.42,69516.0,69625.52,475.14533,1717984799999,33081556.3204679,35659,308.20257,21458011.8760716,0
1717984800000,69625.52,69801.34,69608.4,69716.0,723.3512,1717988399999,50441894.6593793,26323,477.63138,33305464.4589096,0
1717988400000,69716.01,69767.41,69574.8,69613.2,336.95189,1717991999999,23480886.3757249,31475,153.9314,10727766.9453615,0
1717992000000,69613.2,69677.5,69530.95,69674.33,286.62824,1717995599999,19952942.6036426,33491,131.68772,9168244.862741,0
1717995600000,69674.33,69674.33,69530.0,69580.48,338.77292,1717999199999,23572781.582401,24808,167.22231,11633911.5802187,0
1717999200000,69580.47,69618.76,69301.0,69429.87,802.10432,1718002799999,55753121.9909324,37018,388.59686,27015983.5779148,0
1718002800000,69429.87,69500.0,69249.99,69303.99,684.35492,1718006399999,47476552.7211162,43206,251.5543,17451103.9182148,0
1718006400000,69304.0,69494.99,69279.35,69387.5,544.63785,1718009999999,37815066.7956946,28674,200.84662,13944077.7638144,0
1718010000000,69387.5,69474.39,69172.29,69449.99,762.57186,1718013599999,52880216.5032844,38167,370.88513,25720939.0034406,0
1718013600000,69450.0,69470.93,69357.38,69439.99,440.02591,1718017199999,30543033.9414717,31574,208.96895,14504367.7000575,0
1718017200000,69439.99,69550.0,69337.02,69473.89,470.06175,1718020799999,32644553.7740289,30439,259.7431,18039596.2782636,0
1718020800000,69473.89,69520.01,69331.55,69363.99,455.61451,1718024399999,31632161.2880459,35972,230.25326,15985612.273712,0
1718024400000,69364.0,69512.9,69201.59,69408.21,839.30304,1718027999999,58222887.3711298,46502,421.48095,29240306.1087342,0
1718028000000,69408.21,69662.1,69300.01,69662.09,818.84462,1718031599999,56923394.4818515,43906,381.16687,26496723.5965364,0
1718031600000,69662.1,70195.94,69612.26,70066.12,2090.82351,1718035199999,146266697.2464406,86845,1208.24412,84523496.7941654,0
1718035200000,70066.12,70105.82,69722.0,69972.17,1157.81759,1718038799999,80977482.2507962,47705,545.47728,38151161.4688919,0
1718038800000,69972.18,70060.0,69761.89,70043.0,591.25585,1718042399999,41330724.5759869,33362,285.53031,19959985.7636397,0
1718042400000,70043.01,70141.1,69737.56,69860.01,1199.79773,1718045999999,83943331.8915157,43290,542.47929,37958920.1962079,0
1718046000000,69860.01,69860.01,69386.81,69490.8,1347.29029,1718049599999,93804040.8727234,50248,513.60964,35751816.7902904,0
1718049600000,69490.81,69700.51,69334.46,69632.51,1256.69999,1718053199999,87391846.2595613,83540,626.82705,43587075.6054311,0
1718053200000,69632.51,69694.68,69530.0,69585.48,333.26051,1718056799999,23195420.8366716,24790,180.66476,12574282.2037711,0
1718056800000,69585.49,69592.0,69424.28,69495.99,371.95973,1718060399999,25850727.2786539,25798,200.6692,13945159.3330521,0
1718060400000,69495.99,69563.38,69400.01,69540.0,344.74916,1718063999999,23955141.2310768,24022,155.73985,10821129.1036278,0
1718064000000,69540.0,69590.01,69400.0,69410.85,441.01662,1718067599999,30653819.3560456,43528,175.12938,12173191.5244881,0
1718067600000,69410.86,69523.71,68500.0,68724.01,2101.67951,1718071199999,144903934.7672159,116707,739.57095,51011693.0423121,0
1718071200000,68724.0,68922.29,67900.0,68268.62,4237.94052,1718074799999,289119703.8830404,173406,2031.18962,138574767.6696101,0
